Document Title,Abstract,Year,PDF Link,Authors,Source,label,Round 2,
Maximising the information gained from a study of static analysis technologies for concurrent software,,NA,NA,"Margaret A. Wojcicki, Paul Strooper ","Empirical Software Engineering,   Volume 12 Issue 6 , December 2007, Publisher: Kluwer Academic Publishers ",no,,
A New Approach Towards Procurement of Software Models Via Distributed Business Models,,NA,NA,"Ramin Nasiri, Ali Moeini, Ahmad Abdollahzadeh ","The Journal of Supercomputing,   Volume 29 Issue 3, September 2004, Publisher: Kluwer Academic Publishers ",no,,
Managing the business of software product line: An empirical investigation of key business factors,,NA,NA,"Faheem Ahmed, Luiz Fernando Capretz ","Information and Software Technology,   Volume 49 Issue 2, February 2007, Publisher: Butterworth-Heinemann ",no,,
A framework for the design and verification of software measurement methods,,NA,NA,"Naji Habra, Alain Abran, Miguel Lopez, Asma Sellami ","Journal of Systems and Software,   Volume 81 Issue 5, May 2008, Publisher: Elsevier Science Inc. ",no,,
Factors affecting duration and effort estimation errors in software development projects ,,NA,NA,"Ofer Morgenshtern, Tzvi Raz, Dov Dvir ","Information and Software Technology,   Volume 49 Issue 8, August 2007, Publisher: Butterworth-Heinemann ",no,,
Open Source Software: A Source of Possibilities for Software Engineering Education and Empirical Software Engineering,,NA,NA,"Letizia Jaccheri, Thomas Osterlie ","FLOSS '07: Proceedings of the First International Workshop on Emerging Trends in FLOSS Research and Development (FLOSS'07: ICSE Workshops 2007) - Volume 00,   Volume 00, May 2007, Publisher: IEEE Computer Society ",no,,
Design steps for developing software measurement standard etalons for ISO 19761 (COSMIC-FFP),,NA,NA,"Adel Khelifi, Alain Abran "," ICCOMP'07: Proceedings of the 11th WSEAS International Conference on Computers, July 2007, Publisher: World Scientific and Engineering Academy and Society (WSEAS) ",no,,
Effective software management: where do we falter?,,NA,NA,"Syed Jawad Hussain, Khalid Rashid, H. Farooq Ahmad, Syed Fawad Hussain ","SEPADS'07: Proceedings of the 6th WSEAS International Conference on Software Engineering, Parallel and Distributed Systems, Publisher: World Scientific and Engineering Academy and Society (WSEAS), February 2007 ",no,,
Software reliability prediction by soft computing techniques,,NA,NA,"N. Raj Kiran, V. Ravi ","Journal of Systems and Software,   Volume 81 Issue 4, April 2008, Publisher: Elsevier Science Inc. ",no,,
A requirements engineering framework for cross-organizational ERP systems,,NA,NA,"Maya Daneva, Roel J. Wieringa ","Requirements Engineering,   Volume 11 Issue 3, June 2006, Publisher: Springer-Verlag New York, Inc. ",no,,
Using Economics as Basis for Modelling and Evaluating Software Quality ,,NA,NA,Stefan Wagner ,"ESC '07: Proceedings of the First International Workshop on The Economics of Software and Computation, May 2007, Publisher: IEEE Computer Society ",no,,
Requirements Engineering for Cross-organizational ERP Implementation: Undocumented Assumptions and Potential Mismatches ,,NA,NA,"Maya Daneva, Roel Wieringa ","RE '05: Proceedings of the 13th IEEE International Conference on Requirements Engineering, August 2005, Publisher: IEEE Computer Society ",no,,
Institutionalization of software product line: An empirical investigation of key organizational factors ,,NA,NA,"Faheem Ahmed, Luiz Fernando Capretz, Shahbaz Ali Sheikh ","Journal of Systems and Software,   Volume 80 Issue 6, June 2007, Publisher: Elsevier Science Inc. ",no,,
Software maintenance seen as a knowledge management issue ,,NA,NA,"Nicolas Anquetil, Kòthia M. de Oliveira, Kleiber D. de Sousa, Mòrcio G. Batista Dias ","Information and Software Technology,   Volume 49 Issue 5, May 2007, Publisher: Butterworth-Heinemann ",no,,
A brief survey of program slicing ,,NA,NA,"Baowen Xu, Ju Qian, Xiaofang Zhang, Zhongqiang Wu, Lin Chen ","ACM SIGSOFT Software Engineering Notes,   Volume 30 Issue 2, March 2005, Publisher: ACM ",no,,
Speculative optimization using hardware-monitored guarded regions for java virtual machines ,,NA,NA,"Lixin Su, Mikko H. Lipasti "," VEE '07: Proceedings of the 3rd international conference on Virtual execution environments, June 2007, Publisher: ACM ",no,,
An agent-based approach to intrastream synchronization for multimedia applications,,NA,NA,"S. S. Manvi, P. Venkataram ","International Journal of Knowledge-based and Intelligent Engineering Systems,   Volume 10 Issue 2, April 2006, Publisher: IOS Press ",no,,
A toolkit for managing user attention in peripheral displays ,,NA,NA,"Tara Matthews, Anind K. Dey, Jennifer Mankoff, Scott Carter, Tye Rattenbury ","UIST '04: Proceedings of the 17th annual ACM symposium on User interface software and technology, October 2004, Publisher: ACM ",no,,
Analysis & recommendations for the management of cots: computer off the shelf-software projects,,NA,NA,"Mansoor Al-A'ali, Seema Al-Mahmood ","ICCOMP'07: Proceedings of the 11th WSEAS International Conference on Computers, July 2007, Publisher: World Scientific and Engineering Academy and Society (WSEAS) ",no,,
An initial study in using audio-visual stimuli in e-commerce ,,NA,NA,"D. Rigas, A. Stergiou ","SEPADS'07: Proceedings of the 6th WSEAS International Conference on Software Engineering, Parallel and Distributed Systems, Publisher: World Scientific and Engineering Academy and Society (WSEAS), February 2007 ",no,,
Reflection on development and delivery of a data mining unit ,,NA,NA,Bozena Stewart ,"AusDM '07: Proceedings of the sixth Australasian conference on Data mining and analytics - Volume 70,   Volume 70, December 2007, Publisher: Australian Computer Society, Inc. ",no,,
Writing for computer science: a taxonomy of writing tasks and general advice,,NA,NA,"Robert F. Dugan, Jr, Virginia G. Polanski ","Journal of Computing Sciences in Colleges,   Volume 21 Issue 6, June 2006, Publisher: Consortium for Computing Sciences in Colleges ",no,,
Effective preparation for design review: using UML arrow checklist leveraged on the Gurus' knowledge,,NA,NA,"Ethan Hadar, Irit Hadar ","OOPSLA '07: Companion to the 22nd ACM SIGPLAN conference on Object oriented programming systems and applications companion, October 2007, Publisher: ACM ",no,,
Employer satisfaction with ICT graduates ,,NA,NA,Dianne Hagan ,"ACE '04: Proceedings of the sixth conference on Australasian computing education - Volume 30,   Volume 30 , January 2004, Publisher: Australian Computer Society, Inc. ",no,,
Qos for wireless interactive multimedia streaming,,NA,NA,"Kostas E. Psannis, Yutaka Ishibashi, Marios G. Hadjinicolaou ","Q2SWinet '07: Proceedings of the 3rd ACM workshop on QoS and security for wireless and mobile networks, October 2007, Publisher: ACM ",no,,
Supporting task-oriented modeling using interactive UML views ,,NA,NA,"Christian F. J. Lange, Martijn A. M. Wijns, Michel R. V. Chaudron ","Journal of Visual Languages and Computing,   Volume 18 Issue 4, August 2007, Publisher: Academic Press, Inc. ",no,,
An evaluation of a model-based testing method for information systems ,,NA,NA,"Pedro Santos-Neto, Rodolfo F. Resende, Clarindo Pòdua ","SAC '08: Proceedings of the 2008 ACM symposium on Applied computing, March 2008, Publisher: ACM ",no,,
Functional size measurement revisited ,,NA,NA,"Cigdem Gencel, Onur Demirors ","ACM Transactions on Software Engineering and Methodology (TOSEM),   Volume 17 Issue 3, June 2008 , Publisher: ACM, June 2008, Publisher: ACM ",no,,
A proposed framework for the analysis and evaluation of business models ,,NA,NA,Jean-Paul Van Belle ,"SAICSIT '04: Proceedings of the 2004 annual research conference of the South African institute of computer scientists and information technologists on IT research in developing countries, October 2004, Publisher: South African Institute for Computer Scien",no,,
Statistically rigorous java performance evaluation ,,NA,NA,"Andy Georges, Dries Buytaert, Lieven Eeckhout ","ACM SIGPLAN Notices,   Volume 42 Issue 10, October 2007, Publisher: ACM ",no,,
Flexible Support and Management of Adaptive Workflow Processes,,NA,NA,N. C. Narendra ,"Information Systems Frontiers,   Volume 6 Issue 3, September 2004, Publisher: Kluwer Academic Publishers ",no,,
Soccer players identification based on visual local features ,,NA,NA,"L. Ballan, M. Bertini, A. Del Bimbo, W. Nunziati ","CIVR '07: Proceedings of the 6th ACM international conference on Image and video retrieval , July 2007, Publisher: ACM ",no,,
Automotive use case standard for embedded systems,,NA,NA,"Fredrik Pettersson, Martin Ivarsson, Peter ?hman ","ACM SIGSOFT Software Engineering Notes,   Volume 30 Issue 4, July 2005, Publisher: ACM, July 2005, Publisher: ACM ",no,,
The pervasive discourse: an analysis ,,NA,NA,Eva Nieuwdorp ,"Computers in Entertainment (CIE),   Volume 5 Issue 2, April 2007, Publisher: ACM ",no,,
Evaluating ERP projects using DEA and regression analysis ,,NA,NA,"S. Parthasarathy, N. Anbazhagan ","International Journal of Business Information Systems,   Volume 3 Issue 2, International Journal of Business Information Systems,   Volume 3 Issue 2, January 2008, Publisher: Inderscience Publishers ",no,,
Can health care benefit from modeling and simulation methods in the same way as business and manufacturing has? ,,NA,NA,"Jasna Kuljis, Ray J. Paul, Lampros K. Stergioulas ","WSC '07: Proceedings of the 39th conference on Winter simulation: 40 years! The best is yet to come, December 2007, Publisher: IEEE Press ",no,,
Do personality traits affect the acceptance of e-finance? ,,NA,NA,"Hsing-I Wang, Heng-Li Yang ","International Journal of Electronic Finance,   Volume 1 Issue 2, July 2006, Publisher: Inderscience Publishers ",no,,
TABASCO: a taxonomy-based domain engineering method ,,NA,NA,"Loek Cleophas, Bruce W. Watson, Derrick G. Kourie, Andrew Boake ","SAICSIT '05: Proceedings of the 2005 annual research conference of the South African institute of computer scientists and information technologists on IT research in developing countries, July 2005, Publisher: South African Institute for Computer Scientists and Information Technologists ",no,,
Facilitating cross-organisational workflows with a workflow view approach,,NA,NA,"Karsten A. Schulz, Maria E. Orlowska ","Data & Knowledge Engineering,   Volume 51 Issue 1, October 2004, Publisher: Elsevier Science Publishers B. V. ",no,,
Scorm run-time environment as a service ,,NA,NA,"Gennaro Costagliola, Filomena Ferrucci, Vittorio Fuccella ","ICWE '06: Proceedings of the 6th international conference on Web engineering, July 2006, Publisher: ACM  ",no,,
A taxonomy of DFA-based string processors ,,NA,NA,"Ernest Ketcha Ngassam, Derrick G. Kourie, Bruce Watson ","SAICSIT '06: Proceedings of the 2006 annual research conference of the South African institute of computer scientists and information technologists on IT research in developing countries, October 2006, Publisher: South African Institute for Computer Scientists and Information Technologists ",no,,
Proceedings of the 2006 ACM/IEEE international symposium on Empirical software engineering ,,NA,NA,"Guilherme Horta Travassos, Jos? Carlos Maldonado, Claes Wohlin ","Proceedings of the 2006 ACM/IEEE international symposium on Empirical software engineering, September 2006, Publisher: ACM ",no,,
Virtual organization security policies: An ontology-based integration approach,,NA,NA,"Saravanan Muthaiyah, Larry Kerschberg ","Information Systems Frontiers,   Volume 9 Issue 5 , Publisher: Kluwer Academic Publishers, November 2007 ",no,,
Developing an IS/ICT management capability maturity framework ,,NA,NA,Jaco Renken ,"SAICSIT '04: Proceedings of the 2004 annual research conference of the South African institute of computer scientists and information technologists on IT research in developing countries, October 2004, Publisher: South African Institute for Computer Scientists and Information Technologists ",no,,
Error resilient video over multimedia broadcast multicast services (MBMS,,NA,NA,"Sanigepalli Praveenkumar, Hari Kalva, Borko Furht ","Multimedia Tools and Applications,   Volume 28 Issue 1, January 2006, Publisher: Kluwer Academic Publishers ",no,,
A survey of software infrastructures and frameworks for ubiquitous computing,,NA,NA,"Christoph Endres, Andreas Butz, Asa MacWilliams ","Mobile Information Systems,   Volume 1 Issue 1, January 2005, Publisher: IOS Press ",no,,
"Cumulvs: Interacting with High-Performance Scientific Simulations, for Visualization, Steering and Fault Tolerance ",,NA,NA,"James A. Kohl, Torsten Wilde, David E. Bernholdt ","International Journal of High Performance Computing Applications,   Volume 20 Issue 2, May 2006, Publisher: Sage Publications, Inc. ",no,,
JADE: A software framework for developing multi-agent applications. Lessons learned ,,NA,NA,"Fabio Bellifemine, Giovanni Caire, Agostino Poggi, Giovanni Rimassa ","Information and Software Technology,   Volume 50 Issue 1-2, January 2008, Publisher: Butterworth-Heinemann ",no,,
Experiences using systematic review guidelines ,,NA,NA,"Mark Staples, Mahmood Niazi ","Journal of Systems and Software,   Volume 80 Issue 9, September 2007, Publisher: Elsevier Science Inc. ",no,,
Taxonomy of algorithm animation languages ,,NA,NA,"Ville Karavirta, Ari Korhonen, Lauri Malmi ","SoftVis '06: Proceedings of the 2006 ACM symposium on Software visualization, September 2006, Publisher: ACM ",no,,
Automatic camera path generation for graph navigation in 3D ,,NA,NA,"Adel Ahmed, Peter Eades ","APVis '05: proceedings of the 2005 Asia-Pacific symposium on Information visualisation - Volume 45,   Volume 45, January 2005, Publisher: Australian Computer Society, Inc. ",no,,
Time-bounded adaptation for automotive system software ,,NA,NA,"Serena Fritsch, Aline Senart, Douglas C. Schmidt, Siobhòn Clarke ","ICSE '08: Proceedings of the 30th international conference on Software engineering, May 2008, Publisher: ACM ",no,,
Integrating a model of analytical quality assurance into the V-Modell XT ,,NA,NA,"Stefan Wagner, Michael Meisinger ","SOQUA '06: Proceedings of the 3rd international workshop on Software quality assurance, November 2006, Publisher: ACM ",no,,
An efficient intrusion detection system using a boosting-based learning algorithm,,NA,NA,"Zhenwei Yu, Jeffrey J. P. Tsai ","International Journal of Computer Applications in Technology,   Volume 27 Issue 4, October 2006, Publisher: Inderscience Publishers ",no,,
Game theory perspectives on client: vendor relationships in offshore software outsourcing,,NA,NA,Nilay V. Oza ,"EDSER '06: Proceedings of the 2006 international workshop on Economics driven software engineering research, May 2006, Publisher: ACM ",no,,
A framework for building reality-based interfaces for wireless-grid applications,,NA,NA,Orit Shaer ,"CHI '05: CHI '05 extended abstracts on Human factors in computing systems, April 2005 , Publisher: ACM  ",no,,
Supervision Based on Place Invariants: A Survey ,,NA,NA,"M. V. Iordache, P. J. Antsaklis ","Discrete Event Dynamic Systems,   Volume 16 Issue 4, December 2006 , Publisher: Kluwer Academic Publishers ",no,,
Human and social factors of software engineering: workshop summary,,NA,NA,"Michael John, Frank Maurer, Bj?rnar Tessem ","ACM SIGSOFT Software Engineering Notes,   Volume 30 Issue 4, July 2005, Publisher: ACM ",no,,
Engaging undergraduates in computer security research ,,NA,NA,"John B. Bowles, Caroline M. Eastman, Csilla Farkas ","InfoSecCD '06: Proceedings of the 3rd annual conference on Information security curriculum development, September 2006, Publisher: ACM ",no,,
Improving the quality of UML models in practice ,,NA,NA,Christian F. J. Lange ,"ICSE '06: Proceedings of the 28th international conference on Software engineering, May 2006,  Publisher: ACM ",no,,
A replicated experiment of pair-programming in a 2nd-year software development and design computer science course,,NA,NA,"Emilia Mendes, Lubna Al-Fakhri, Andrew Luxton-Reilly ","ACM SIGCSE Bulletin,   Volume 38 Issue 3, September 2006, Publisher: ACM ",no,,
What is embedded systems and how should it be taught?---results from a didactic analysis,,NA,NA,"Martin Grimheden, Martin T?rngren ","ACM Transactions on Embedded Computing Systems (TECS),   Volume 4 Issue 3, August 2005, Publisher: ACM ",no,,
Investigating pair-programming in a 2nd-year software development and design computer science course ,,NA,NA,"Emilia Mendes, Lubna Basil Al-Fakhri, Andrew Luxton-Reilly ","ITiCSE '05: Proceedings of the 10th annual SIGCSE conference on Innovation and technology in computer science education, June 2005, Publisher: ACM ",no,,
Reliability and Validity in Comparative Studies of Software Prediction Models,,NA,NA,"Ingunn Myrtveit, Martin Shepperd / Erik Stensrud ","IEEE Transactions on Software Engineering,   Volume 31 Issue 5, May 2005, Publisher: IEEE Press ",no,,
Person-Job Cognitive Style Fit for Software Developers: The Effect on Strain and Performance ,,NA,NA,"Michael A. Chilton, Bill C. Hardgrave, Deborah J. Armstrong ","Journal of Management Information Systems,   Volume 22 Issue 2, November 2005, Publisher: M. E. Sharpe, Inc. ",no,,
Motivating open source software developers: influence of transformational and transactional leaderships ,,NA,NA,"Yan Li, Chuan-Hoo Tan, Hock-Hai Teo, A. Talib Mattar ","SIGMIS CPR '06: Proceedings of the 2006 ACM SIGMIS CPR conference on computer personnel research: Forty four years of computer personnel research: achievements, challenges & the future, April 2006, Publisher: ACM ",no,,
Is there a future for empirical software engineering? ,,NA,NA,Victor R. Basili ,"ISESE '06: Proceedings of the 2006 ACM/IEEE international symposium on Empirical software engineering, September 2006, Publisher: ACM ",no,,
Gender in end-user software engineering ,,NA,NA,"Margaret Burnett, Susan Wiedenbeck, Valentina Grigoreanu, Neeraja Subrahmaniyan, Laura Beckwith, Cory Kissinger ","WEUSE '08: Proceedings of the 4th international workshop on End-user software engineering, May 2008, Publisher: ACM ",no,,
Meta-analysis of correlations among usability measures ,,NA,NA,"Kasper Hornb?k, Effie Lai-Chong Law ","CHI '07: Proceedings of the SIGCHI conference on Human factors in computing systems, April 2007, Publisher: ACM ",no,,
Examining IT professionals' adaptation to technological change: the influence of gender and personal attributes ,,NA,NA,Michael J. Gallivan ,"ACM SIGMIS Database,   Volume 35 Issue 3, August 2004, Publisher: ACM ",no,,
Empirical evaluation of optimization algorithms when used in goal-oriented automated test data generation techniques ,,NA,NA,"Man Xiao, Mohamed El-Attar, Marek Reformat, James Miller ","Empirical Software Engineering,   Volume 12 Issue 2, April 2007, Publisher: Kluwer Academic Publishers ",no,,
"Experiences from large embedded systems development projects in education, involving industry and research",,NA,NA,"Martin T?rngren, Martin Grimheden, Niklas Adamsson ","ACM SIGBED Review,   Volume 4 Issue 1, January 2007, Publisher: ACM ",no,,
The effects of task complexity and time availability limitations on human performance in database query tasks ,,NA,NA,"Heikki Topi, Joseph S. Valacich, Jeffrey A. Hoffer ","International Journal of Human-Computer Studies,   Volume 62 Issue 3, March 2005, Publisher: Academic Press, Inc",no,,
Reading and class work ,,NA,NA,Henry M. Walker ,"ACM SIGCSE Bulletin,   Volume 39 Issue 2, June 2007, Publisher: ACM ",no,,
Leveraging IS theory by exploiting the isomorphism between different research areas,,NA,NA,Jean-Paul Van Belle ,"SAICSIT '04: Proceedings of the 2004 annual research conference of the South African institute of computer scientists and information technologists on IT research in developing countries, October 2004, Publisher: South African Institute for Computer Scien",no,,
Do computer science students know what they know?: a calibration study of data structure knowledge,,NA,NA,"Laurie Murphy, Josh Tenenberg ","ITiCSE '05: Proceedings of the 10th annual SIGCSE conference on Innovation and technology in computer science education, June 2005, Publisher: ACM ",no,,
Improving graphical information system model use with elision and connecting lines ,,NA,NA,"Jouni Huotari, Kalle Lyytinen, Marketta Niemel? ","ACM Transactions on Computer-Human Interaction (TOCHI),   Volume 11 Issue 1, March 2004, Publisher: ACM ",no,,
Revisiting the problem of using problem reports for quality assessment,,NA,NA,"Parastooi Mohagheghi, Reidar Conradi, Jon Arvid B?rretzen ","WoSQ '06: Proceedings of the 2006 international workshop on Software quality, May 2006, Publisher: ACM ",no,,
Collaboration using OSSmole: a repository of FLOSS data and analyses ,,NA,NA,"Megan Conklin, James Howison, Kevin Crowston ","MSR '05: Proceedings of the 2005 international workshop on Mining software repositories , May 2005, Publisher: ACM ",no,,
An Infrastructure for Indexing and Organizing Best Practices,,NA,NA,"Liming Zhu, Mark Staples, Ian Gorton ","ICSEW '07: Proceedings of the 29th International Conference on Software Engineering Workshops, May 2007, Publisher: IEEE Computer Society ",no,,
Constructing a core literature for computing education research,,NA,NA,"Arnold Pears, Stephen Seidman, Crystal Eney, P?ivi Kinnunen, Lauri Malmi ","ACM SIGCSE Bulletin,   Volume 37 Issue 4, December 2005, Publisher: ACM ",no,,
The influence of information presentation formats on complex task decision-making performance,,NA,NA,Cheri Speier ,"International Journal of Human-Computer Studies,   Volume 64 Issue 11, November 2006, Publisher: Academic Press, Inc.",no,,
Instructional design of a programming course: a learning theoretic approach,,NA,NA,"Michael E. Caspersen, Jens Bennedsen ","ICER '07: Proceedings of the third international workshop on Computing education research, September 2007, Publisher: ACM ",no,,
A framework for methodologies of visual modeling language evaluation,,NA,NA,Anna E. Bobkowska ,"MIS '05: Proceedings of the 2005 symposia on Metainformatics, November 2005, Publisher: ACM ",no,,
Turnover of information technology professionals: the effects of internal labor market strategies,,NA,NA,"Soon Ang, Sandra Slaughter ","ACM SIGMIS Database,   Volume 35 Issue 3, August 2004, Publisher: ACM ",no,,
On establishing the essential components of a technology-dependent framework: a strawman framework for industrial case study-based research,,NA,NA,"Laurie Williams, Lucas Layman, Pekka Abrahamsson "," REBSE '05: Proceedings of the 2005 workshop on Realising evidence-based software engineering, May 2005, Publisher: ACM.",no,,
Scientific research ontology to support systematic review in software engineering ,,NA,NA,"Jorge Calmon de Almeida Biolchini, Paula Gomes Mian, Ana Candida Cruz Natali, Tayana Uch?a Conte, Guilherme Horta Travassos ","Advanced Engineering Informatics,   Volume 21 Issue 2, April 2007, Publisher: Elsevier Science Publishers B. V. ",no,,
A qualitative analysis of reflective and defensive student responses in a software engineering and design course,,NA,NA,Leslie Schwartzman ,"Baltic Sea '06: Proceedings of the 6th Baltic Sea conference on Computing education research: Koli Calling 2006, February 2006, Publisher: ACM ",no,,
An Infrastructure for Indexing and Organizing Best Practices,,NA,NA,"Liming Zhu, Mark Staples, Ian Gorton ","REBSE '07: Proceedings of the Second International Workshop on Realising Evidence-Based Software Engineering, May 2007, Publisher: IEEE Computer Society ",no,,
From e-learning to games-based e-learning: using interactive technologies in teaching an IS course ,,NA,NA,"Thomas M. Connolly, Mark Stansfield ","International Journal of Information Technology and Management,   Volume 6 Issue 2-4, June 2007, Publisher: Inderscience Publishers ",no,,
Forming effective worker teams with multi-functional skill requirements,,NA,NA,"Erin L. Fitzpatrick, Ronald G. Askin ","Computers and Industrial Engineering,   Volume 48 Issue 3, May 2005, Publisher: Pergamon Press, Inc",no,,
The type of evidence produced by empirical software engineers,,NA,NA,"Judith Segal, Antony Grinyer, Helen Sharp ","ACM SIGSOFT Software Engineering Notes,   Volume 30 Issue 4, July 2005, Publisher: ACM ",no,,
Antecedents and consequences of team potency in software development projects ,,NA,NA,"Ali E. AkgÅn, Halit Keskin, John Byrne, Salih Z. Imamoglu ","Information and Management,   Volume 44 Issue 7, October 2007, Publisher: Elsevier Science Publishers B. V",no,,
Analysis of combinatorial user effect in international usability tests,,NA,NA,"Effie Lai-Chong Law, Ebba Thora Hvannberg ","CHI '04: Proceedings of the SIGCHI conference on Human factors in computing systems, April 2004 , Publisher: ACM ",no,,
Understanding knowledge sharing activities in free/open source software projects: An empirical study,,NA,NA,"Sulayman K. Sowe, Ioannis Stamelos, Lefteris Angelis ","Journal of Systems and Software,   Volume 81 Issue 3, March 2008, Publisher: Elsevier Science Inc",no,,
Implementing the jigsaw model in CS1 closed labs,,NA,NA,Leen-Kiat Soh ,"ACM SIGCSE Bulletin,   Volume 38 Issue 3, September 2006, Publisher: ACM ",no,,
The Future of Empirical Methods in Software Engineering Research,,NA,NA,"Dag I. K. Sjoberg, Tore Dyba, Magne Jorgensen ","FOSE '07: 2007 Future of Software Engineering, May 2007, Publisher: IEEE Computer Society ",no,,
Architecting-problems rooted in requirements ,,NA,NA,"Remo N. Ferrari, Nazim H. Madhavji ","Information and Software Technology,   Volume 50 Issue 1-2, January 2008, Publisher: Butterworth-Heinemann ",no,,
Collaboration using OSSmole: a repository of FLOSS data and analyses,,NA,NA,"Megan Conklin, James Howison, Kevin Crowston ","ACM SIGSOFT Software Engineering Notes,   Volume 30 Issue 4, July 2005, Publisher: ACM ",no,,
Tasks and scenario-based evaluation of information visualization techniques,,NA,NA,"Marco A. Winckler, Philippe Palanque, Carla M. D. S. Freitas ","TAMODIA '04: Proceedings of the 3rd annual conference on Task models and diagrams, November 2004, Publisher: ACM ",no,,
"Research methods in computing: what are they, and how should we teach them? ",,NA,NA,"Hilary J. Holz, Anne Applin, Bruria Haberman, Donald Joyce, Helen Purchase, Catherine Reed ","ITiCSE-WGR '06: Working group reports on ITiCSE on Innovation and technology in computer science education, June 2006 ",no,,
A usability study on human-computer interface for middle-aged learners,,NA,NA,"Jyh-Rong Chou, Shih-Wen Hsiao ","Computers in Human Behavior,   Volume 23 Issue 4, July 2007, Publisher: Elsevier Science Publishers B. V",no,,
A new calibration for Function Point complexity weights,,NA,NA,"Wei Xia, Luiz Fernando Capretz, Danny Ho, Faheem Ahmed ","Information and Software Technology,   Volume 50 Issue, June 2008 ",no,,
A Manifesto for Agent Technology: Towards Next Generation Computing,,NA,NA,"Michael Luck, Peter McBurney, Chris Preist "," Autonomous Agents and Multi-Agent Systems,   Volume 9 Issue 3, November 2004, Publisher: Kluwer Academic Publishers ",no,,
A meta-analysis of the technology acceptance model: Investigating subjective norm and moderation effects,,NA,NA,"Jeroen Schepers, Martin Wetzels","Information and Management,   Volume 44 Issue 1, January 2007, Publisher: Elsevier Science Publishers B. V",no,,
Broadening participation in computing: issues and challenges ,,NA,NA,"Joan Peckham, Lisa L. Harlow, David A. Stuart, Barbara Silver, Helen Mederer, Peter D. Stephenson ","ITiCSE '07: Proceedings of the 12th annual SIGCSE conference on Innovation and technology in computer science education, June 2007, Publisher: ACM ",no,,
Knowledge-Sharing Issues in Experimental Software Engineering,,NA,NA,"Forrest Shull, Manoel G. Mendonc?a, Victor Basili, Jeffrey Carver, Jos? C. Maldonado, Sandra Fabbri, Guilherme Horta Travassos, Maria Cristina Ferreira ","Empirical Software Engineering,   Volume 9 Issue 1-2, March 2004, Publisher: Kluwer Academic Publishers ",no,,
Does task training really affect group performance? ,,NA,NA,"Yuk Kuen Wong, David Wilson ","WISICT '04: Proceedings of the winter international synposium on Information and communication technologies, January 2004, Publisher: Trinity College Dublin",no,,
A study of subsidiaries' views of information systems strategic planning in multinational organisations,,NA,NA,"Mohdzaher B. Mohdzain, John M. Ward ","The Journal of Strategic Information Systems,   Volume 16 Issue 4, December 2007, Publisher: Butterworth-Heinemann ",no,,
Building reusable information security courseware ,,NA,NA,"Andy Ju An Wang, Ken Yetsko ","InfoSecCD '05: Proceedings of the 2nd annual conference on Information security curriculum development, September 2005, Publisher: ACM",no,,
In-group/out-group effects in distributed teams: an experimental simulation ,,NA,NA,"Nathan Bos, N. Sadat Shami, Judith S. Olson, Arik Cheshin, Ning Nan ","CSCW '04: Proceedings of the 2004 ACM conference on Computer supported cooperative work, November 2004, Publisher: ACM ",no,,
A Cognitive-Based Mechanism for Constructing Software Inspection Teams,,NA,NA,Zhichao Yin / James Miller ,"IEEE Transactions on Software Engineering,   Volume 30 Issue 11, November 2004, Publisher: IEEE Press",no,,
Implications of researcher assumptions about perceived relative advantage and compatibility,,NA,NA,"Craig Van Slyke, Richard D. Johnson, Ross Hightower, Wafa Elgarah ","ACM SIGMIS Database,   Volume 39 Issue 2, April 2008, Publisher: ACM",no,,
Exploring consumer adoption of mobile payments - A qualitative study,,NA,NA,Niina Mallat ,"The Journal of Strategic Information Systems,   Volume 16 Issue 4, December 2007, Publisher: Butterworth-Heinemann ",no,,
Effectiveness of end-user debugging software features: are there gender issues? ,,NA,NA,"Laura Beckwith, Margaret Burnett, Susan Wiedenbeck, Curtis Cook, Shraddha Sorte, Michelle Hastings ","CHI '05: Proceedings of the SIGCHI conference on Human factors in computing systems, April 2005, Publisher: ACM",no,,
The Effect of Communication Frequency and Channel Richness on the Convergence Between Chief Executive and Chief Information Officers,,NA,NA,"Alice M. Johnson, Albert L. Lederer ","Journal of Management Information Systems,   Volume 22 Issue 2, November 2005, Publisher: M. E. Sharpe, Inc. ",no,,
Exploring the influence of perceptual factors in the success of web-based spatial DSS,,NA,NA,"Suprasith Jarupathirun, Fatemeh ""Mariam"" Zahedi ","Decision Support Systems,   Volume 43 Issue 3, April 2007, Publisher: Elsevier Science Publishers B. V. ",no,,
Evaluating user interactions with clinical information systems: a model based on human-computer interaction models,,NA,NA,"Christelle Despont-Gros, Henning Mueller, Christian Lovis ","Journal of Biomedical Informatics,   Volume 38 Issue 3, Publisher: Elsevier Science ",no,,
Integration of ASP offerings: the perspective of SMES ,,NA,NA,"Robert Johnson, Simon Kent ","IMSA'07: IASTED European Conference on Proceedings of the IASTED European Conference: internet and multimedia systems and applications, March 2007, Publisher: ACTA Press ",no,,
"E-commerce security threats: awareness, trust and practice",,NA,NA,"Jim Q. Chen, Mark B. Schmidt, Dien D. Phan, Kirk P. Arnett ","International Journal of Information Systems and Change Management,   Volume 3 Issue 1,July 2008,  Publisher: Inderscience Publishers",no,,
